Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
6468,16017,9549,5194,Andaman and Nicobar Islands,1,16016,21211,22507,16017,881,32,0,01/04/2021
3008,6638,3630,2086,Andaman and Nicobar Islands,0,6638,8724,15334,6638,161,15,0,02/03/2021
6513,16104,9591,5198,Andaman and Nicobar Islands,1,16103,21302,22581,16104,895,32,0,02/04/2021
1506,2107,601,0,Andaman and Nicobar Islands,0,2107,2107,13820,2107,56,12,0,03/02/2021
3028,6749,3721,2088,Andaman and Nicobar Islands,0,6749,8837,15353,6749,172,16,0,03/03/2021
6691,16470,9779,5242,Andaman and Nicobar Islands,1,16469,21712,23037,16470,932,32,0,03/04/2021
1631,2290,659,0,Andaman and Nicobar Islands,0,2290,2290,13990,2290,57,13,0,04/02/2021
3133,7266,4133,2095,Andaman and Nicobar Islands,0,7266,9361,15508,7266,182,16,0,04/03/2021
7681,18677,10996,5224,Andaman and Nicobar Islands,0,23901,23901,18677,18677,1200,12,0,04/04/2021
1809,2514,705,0,Andaman and Nicobar Islands,0,2514,2514,14151,2514,63,13,0,05/02/2021
3240,7799,4559,2098,Andaman and Nicobar Islands,0,7799,9897,15640,7799,198,16,0,05/03/2021
8062,19499,11437,5275,Andaman and Nicobar Islands,0,24774,24774,19499,19499,1800,18,0,05/04/2021
2035,2780,745,0,Andaman and Nicobar Islands,0,2780,2780,14367,2780,65,13,0,06/02/2021
3373,8288,4915,2210,Andaman and Nicobar Islands,0,8288,10498,15869,8288,224,16,0,06/03/2021
8548,20445,11897,5321,Andaman and Nicobar Islands,0,25766,25766,20445,20445,2300,23,0,06/04/2021
3597,8848,5251,2253,Andaman and Nicobar Islands,0,8848,11101,16666,8848,227,16,0,07/03/2021
9645,22631,12986,5347,Andaman and Nicobar Islands,0,27978,27978,22631,22631,2400,23,0,07/04/2021
3757,9629,5872,2375,Andaman and Nicobar Islands,0,9629,12004,16968,9629,261,16,0,08/03/2021
10957,25363,14405,5403,Andaman and Nicobar Islands,0,30766,30766,25363,25363,2800,28,1,08/04/2021
3855,9916,6061,2391,Andaman and Nicobar Islands,0,9916,12307,17172,9916,264,16,0,09/03/2021
12115,27698,15582,5519,Andaman and Nicobar Islands,0,33217,33217,27698,27698,2800,28,1,09/04/2021
3938,10139,6201,2427,Andaman and Nicobar Islands,0,10139,12566,17363,10139,270,16,0,10/03/2021
13172,29863,16690,5570,Andaman and Nicobar Islands,0,35433,35433,29863,29863,3000,29,1,10/04/2021
4085,10652,6567,2486,Andaman and Nicobar Islands,0,10652,13138,17687,10652,288,16,0,11/03/2021
14145,32012,17866,5612,Andaman and Nicobar Islands,0,37624,37624,32012,32012,2800,28,1,11/04/2021
2079,2852,773,0,Andaman and Nicobar Islands,0,2852,2852,14549,2852,74,14,0,12/02/2021
4262,11200,6938,2586,Andaman and Nicobar Islands,0,11200,13786,17995,11200,295,16,0,12/03/2021
16392,36572,20175,5713,Andaman and Nicobar Islands,0,42285,42285,36572,36572,3400,33,5,12/04/2021
2102,3040,938,0,Andaman and Nicobar Islands,0,3040,3040,14618,3040,74,14,0,13/02/2021
4342,11393,7051,2740,Andaman and Nicobar Islands,0,11393,14133,18172,11393,298,16,0,13/03/2021
19575,43013,23433,5832,Andaman and Nicobar Islands,0,48845,48845,43013,43013,3400,32,5,13/04/2021
4368,11449,7081,2768,Andaman and Nicobar Islands,0,11449,14217,18226,11449,308,16,0,14/03/2021
22690,49654,26959,5941,Andaman and Nicobar Islands,0,55595,55595,49654,49654,3300,32,5,14/04/2021
2187,3363,1176,104,Andaman and Nicobar Islands,0,3363,3467,14685,3363,78,14,0,15/02/2021
4510,11744,7234,2844,Andaman and Nicobar Islands,0,11744,14588,18510,11744,313,16,0,15/03/2021
25088,54778,29685,6079,Andaman and Nicobar Islands,0,60857,60857,54778,54778,4000,35,5,15/04/2021
11,23,12,0,Andaman and Nicobar Islands,0,23,23,6028,23,2,2,0,16/01/2021
2187,3363,1176,104,Andaman and Nicobar Islands,0,3363,3467,14704,3363,81,14,0,16/02/2021
4636,12051,7415,2878,Andaman and Nicobar Islands,1,12050,14929,18807,12051,338,16,0,16/03/2021
28138,61339,33196,6323,Andaman and Nicobar Islands,0,67662,67662,61339,61339,4900,36,5,16/04/2021
2217,3560,1343,104,Andaman and Nicobar Islands,0,3560,3664,14941,3560,86,14,0,17/02/2021
4670,12142,7472,2983,Andaman and Nicobar Islands,1,12141,15125,18891,12142,340,16,0,17/03/2021
31010,67451,36435,6568,Andaman and Nicobar Islands,0,74019,74019,67451,67451,4300,40,6,17/04/2021
13,42,29,0,Andaman and Nicobar Islands,0,42,42,5719,42,9,2,0,18/01/2021
2050,3505,1455,341,Andaman and Nicobar Islands,0,3505,3846,14619,3505,95,14,0,18/02/2021
4820,12482,7662,3192,Andaman and Nicobar Islands,1,12481,15674,19202,12482,357,17,0,18/03/2021
32769,71275,38500,6878,Andaman and Nicobar Islands,0,78153,78153,71275,71275,4700,47,6,18/04/2021
36,89,53,0,Andaman and Nicobar Islands,0,89,89,6731,89,12,2,0,19/01/2021
2441,4246,1805,652,Andaman and Nicobar Islands,0,4246,4898,15059,4246,101,14,0,19/02/2021
4967,12801,7834,3331,Andaman and Nicobar Islands,1,12800,16132,19517,12801,434,22,0,19/03/2021
34776,75675,40893,7353,Andaman and Nicobar Islands,0,83028,83028,75675,75675,4750,46,6,19/04/2021
57,124,67,0,Andaman and Nicobar Islands,0,124,124,6870,124,16,3,0,20/01/2021
5183,13249,8066,3611,Andaman and Nicobar Islands,1,13248,16860,19918,13249,535,28,0,20/03/2021
36248,78973,42718,7937,Andaman and Nicobar Islands,0,86910,86910,78973,78973,4800,47,7,20/04/2021
129,239,110,0,Andaman and Nicobar Islands,0,239,239,8550,239,22,6,0,21/01/2021
5189,13262,8073,3622,Andaman and Nicobar Islands,1,13261,16884,19930,13262,629,30,0,21/03/2021
37076,80901,43818,8171,Andaman and Nicobar Islands,0,89072,89072,80901,80901,4100,40,7,21/04/2021
321,552,231,0,Andaman and Nicobar Islands,0,552,552,9697,552,29,6,0,22/01/2021
5358,13633,8275,3773,Andaman and Nicobar Islands,1,13632,17406,20280,13633,669,31,0,22/03/2021
38081,83233,45145,8600,Andaman and Nicobar Islands,0,91833,91833,83233,83233,4200,42,7,22/04/2021
578,920,342,0,Andaman and Nicobar Islands,0,920,920,10694,920,32,9,0,23/01/2021
5642,14213,8571,4117,Andaman and Nicobar Islands,1,14212,18330,20813,14213,684,31,0,23/03/2021
38978,85201,46215,8965,Andaman and Nicobar Islands,0,94166,94166,85201,85201,4200,42,8,23/04/2021
609,966,357,0,Andaman and Nicobar Islands,0,966,966,12398,966,38,9,0,24/01/2021
5728,14377,8649,4460,Andaman and Nicobar Islands,1,14376,18837,20966,14377,691,32,0,24/03/2021
39679,86796,47109,9297,Andaman and Nicobar Islands,0,96093,96093,86796,86796,3900,37,8,24/04/2021
1072,1519,447,0,Andaman and Nicobar Islands,0,1519,1519,13051,1519,43,10,0,25/01/2021
5884,14677,8793,4680,Andaman and Nicobar Islands,1,14676,19357,21264,14677,696,32,0,25/03/2021
40146,87865,47711,9527,Andaman and Nicobar Islands,0,97392,97392,87865,87865,3500,35,8,25/04/2021
5981,14905,8924,4871,Andaman and Nicobar Islands,1,14904,19776,21468,14905,713,32,0,26/03/2021
40786,89290,48496,9819,Andaman and Nicobar Islands,0,99109,99109,89290,89290,3500,34,8,26/04/2021
6121,15205,9084,5080,Andaman and Nicobar Islands,1,15204,20285,21759,15205,716,32,0,27/03/2021
41330,90454,49116,10117,Andaman and Nicobar Islands,0,100571,100571,90454,90454,3500,34,8,27/04/2021
1393,1956,563,0,Andaman and Nicobar Islands,0,1956,1956,13454,1956,48,10,0,28/01/2021
1436,2024,588,0,Andaman and Nicobar Islands,0,2024,2024,13564,2024,50,10,0,29/01/2021
1469,2060,591,0,Andaman and Nicobar Islands,0,2060,2060,13609,2060,51,10,0,30/01/2021
6251,15503,9252,5155,Andaman and Nicobar Islands,1,15502,20658,22043,15503,748,32,0,30/03/2021
6275,15547,9272,5157,Andaman and Nicobar Islands,1,15546,20704,22106,15547,854,32,0,31/03/2021
92862,133642,40763,0,Andhra Pradesh,7925,125717,133642,474340,133642,10327,1843,17,01/02/2021
1112003,2297625,1185411,403751,Andhra Pradesh,404484,1893141,2701376,2742748,2297625,182605,6511,211,01/04/2021
92864,133646,40765,0,Andhra Pradesh,7925,125721,133646,474845,133646,11480,2392,17,02/02/2021
286947,559569,272575,142466,Andhra Pradesh,67418,492151,702035,1007956,559569,44866,3900,47,02/03/2021
1140150,2354778,1214408,408955,Andhra Pradesh,424101,1930677,2763733,2793548,2354778,183768,6642,220,02/04/2021
105152,161302,56129,0,Andhra Pradesh,10893,150409,161302,507183,161302,12258,2490,21,03/02/2021
293510,577662,284104,146457,Andhra Pradesh,69578,508084,724119,1022498,577662,51667,3942,48,03/03/2021
